LAT;LONG;ISO_NAME;ISO_2;Y_2000_09;Y_2001_11;Y_2004_01;Y_2004_05;Y_2005_09;Y_2005_11;Y_2008_05;Y_2008_06;Y_2008_07;Y_2008_08;Y_2008_09;Y_2008_10;Y_2008_11;Y_2008_12;Y_2009_01;Y_2009_02;Y_2009_03;Y_2009_04;Y_2009_05;Y_2009_06;Y_2009_07;Y_2009_08;Y_2009_09;Y_2009_10;Y_2009_11;Y_2009_12;Y_2010_01;Y_2010_02;Y_2010_03;Y_2010_04;Y_2010_05;Y_2010_06;Y_2010_07;Y_2010_08;Y_2010_09;Y_2010_10;Y_2010_11;Y_2010_12;Y_2011_01;Y_2011_02;Y_2011_03;Y_2011_04;Y_2011_05;Y_2011_06;Y_2011_07;Y_2011_08;Y_2011_09;Y_2011_10;Y_2011_11;Y_2011_12;Y_2012_01;Y_2012_02;Y_2012_03;Y_2012_04;Y_2012_05;Y_2012_06;Y_2012_07;Y_2012_08;Y_2012_09;Y_2012_10;Y_2012_11;Y_2012_12;Y_2013_01;Y_2013_02;Y_2013_03;Y_2013_04;Y_2013_05;Y_2013_06;LAT2010;LONG2010
0.00;0.00;INCONNU;XX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025;8837;3361;4122;5240;5380;5790;8244;12009;6792;14639;3298;1125;318;437;768;1100;999;2221;1995;4015;6020;6898;7371;7041;3425;1170;1276;1674;1153;2758;3563;4912;4478;4371;5880;7209;11300;11310;11752;11730;12082;7721;7955;7659;8151;8669;-0.61;-6.53
42.50;1.50; Andorra;AD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;8;8;9;7;8;7;8;11;11;17;14;8;9;9;15;14;20;21;21;31;48;120;84;62;68;98;74;66;63;73;94;68;76;71;73;70;76;76;84;90;88;89;90;38.72;-10.21
24.00;54.00; United Arab Emirates;AE;0;0;0;0;0;0;0;1;2;1;3;1;1;3;3;11;4;3;3;8;6;44;125;793;817;888;835;865;982;903;1313;1505;1405;1495;1674;1942;1614;1588;1800;1888;1981;3022;3116;2654;2671;2555;2821;2992;2802;2306;2662;2413;2282;2355;2458;2232;2099;2103;2488;2817;2652;2359;2159;2034;2152;1979;2086;2093;23.85;31.15
33.00;65.00; Afghanistan;AF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;1;12;9;10;10;13;12;21;15;17;12;15;18;31;18;22;22;32;34;65;72;64;62;53;61;97;89;78;114;104;90;106;110;104;110;112;166;167;179;184;172;169;193;192;204;243;48.30;50.68
17.05;-61.80; Antigua and Barbuda;AG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;8;9;7;8;9;9;6;7;10;7;9;10;9;6;5;16;14;9;11;16;19;10;13;12;12;8;11;15;18;9;11;8;4;5;7;11;12;13;12;12;12;13;12;14;16.11;-63.26
18.25;-63.17; Anguilla;AI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;3;2;3;6;4;8;3;3;2;1;1;2;1;0;0;2;3;3;3;2;2;1;4;1;1;0;0;2;3;3;1;1;1;1;1;3;3;4;17.84;-64.49
41.00;20.00; Albania;AL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;14;11;13;30;25;39;32;31;27;32;35;47;54;38;33;44;57;49;85;88;96;86;96;256;131;153;89;96;85;92;106;93;91;79;88;93;104;91;100;103;109;137;131;130;135;39.37;10.84
40.00;45.00; Armenia;AM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;23;19;22;15;20;19;18;21;17;18;17;21;24;22;19;21;25;24;46;48;44;44;40;69;55;70;50;61;73;75;78;72;97;67;76;97;92;83;89;88;87;158;152;145;138;50.65;41.07
-12.50;18.50; Angola;AO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;2;7;4;5;9;15;18;12;13;19;23;24;34;39;30;35;59;125;104;94;61;64;45;54;49;49;55;61;61;60;67;59;57;53;50;55;57;63;67;-13.99;10.86
-90.00;0.00; Antarctica;AQ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;2;1;3;4;0;0;3;1;1;1;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;0;0;0;-87.28;-23.63
